name,url,weight,time_seconds,num_contestants
Codegate CTF Finals 2011,https://ctftime.org/event/20,1.0,1301679163,8
Nuit du Hack CTF Quals 2011,https://ctftime.org/event/5,1.0,1301865200,83
PlaidCTF 2011,https://ctftime.org/event/12,1.0,1303430400,152
PHD CTF Finals 2011,https://ctftime.org/event/24,1.0,1305817200,10
dCTF 2011,https://ctftime.org/event/28,1.0,1306557000,18
DEF CON CTF Qualifier 2011,https://ctftime.org/event/1,1.0,1307127600,278
DEF CON CTF 2011,https://ctftime.org/event/23,1.0,1312437600,12
Hack.lu CTF 2011,https://ctftime.org/event/13,1.0,1316422800,106
CSAW CTF Qualification Round 2011,https://ctftime.org/event/4,1.0,1316808000,204
rwthCTF 2011,https://ctftime.org/event/3,1.0,1317402000,77
ENOWARS 2011,https://ctftime.org/event/29,1.0,1317967200,14
CSAW CTF Final Round 2011,https://ctftime.org/event/45,1.0,1320912000,12
RuCTFE 2011,https://ctftime.org/event/15,1.0,1321714800,68
UCSB iCTF 2011,https://ctftime.org/event/22,1.0,1322798400,64
PHD CTF Quals 2011,https://ctftime.org/event/19,1.0,1323511200,72
Ghost in the Shellcode 2012,https://ctftime.org/event/27,1.0,1325858400,94
Mozilla CTF 2012,https://ctftime.org/event/7,1.0,1327525200,119
ForbiddenBITS CTF 2012,https://ctftime.org/event/10,1.0,1328950800,235
Codegate CTF Preliminary 2012,https://ctftime.org/event/9,1.0,1330084800,182
RuCTF Quals 2012,https://ctftime.org/event/17,1.0,1331931600,59
Nuit du Hack CTF Quals 2012,https://ctftime.org/event/6,1.0,1332630983,303
Codegate CTF Finals 2012,https://ctftime.org/event/18,1.0,1333328400,8
RuCTF 2012,https://ctftime.org/event/16,1.0,1334998800,11
PlaidCTF 2012,https://ctftime.org/event/8,1.0,1335560400,243
BaltCTF Quals 2012,https://ctftime.org/event/21,1.0,1337371200,41
HITB CTF Amsterdam 2012,https://ctftime.org/event/14,1.0,1337853600,8
PHD CTF Finals 2012,https://ctftime.org/event/11,1.0,1338379200,12
DEF CON CTF Qualifier 2012,https://ctftime.org/event/2,1.0,1338595200,303
SECUINSIDE CTF Quals 2012,https://ctftime.org/event/25,1.0,1339207200,30
Nuit du Hack CTF Finals 2012,https://ctftime.org/event/34,1.0,1340431200,13
SECUINSIDE CTF Finals 2012,https://ctftime.org/event/35,1.0,1341900000,8
DEF CON CTF 2012,https://ctftime.org/event/26,1.0,1343368800,20
BaltCTF 2012,https://ctftime.org/event/41,1.0,1345960800,7
CSAW CTF Qualification Round 2012,https://ctftime.org/event/42,1.0,1348840800,633
HitbSecConf CTF (Kuala Lumpur) 2012,https://ctftime.org/event/39,1.0,1349672400,10
Hack.lu CTF 2012,https://ctftime.org/event/38,1.0,1350975600,260
Hackfest 2012,https://ctftime.org/event/44,1.0,1351897200,28
CSCAMP CTF Quals 2012,https://ctftime.org/event/53,1.0,1352440800,59
CSAW CTF Final Round 2012,https://ctftime.org/event/43,1.0,1353002400,15
PoliCTF 2012,https://ctftime.org/event/50,1.0,1353178800,93
RuCTFE 2012,https://ctftime.org/event/49,1.0,1353769200,82
rwthCTF 2012,https://ctftime.org/event/48,1.0,1354280400,76
PHD CTF Quals 2012,https://ctftime.org/event/56,1.0,1355551200,154
29c3 CTF,https://ctftime.org/event/57,1.0,1356615420,129
