name,url,weight,time_seconds,num_contestants
Codeforces Beta Round #1,https://codeforces.com/contest/1/standings,1.0,1266588000,66
Codeforces Beta Round #2,https://codeforces.com/contest/2/standings,1.0,1267124400,122
Codeforces Beta Round #3,https://codeforces.com/contest/3/standings,1.0,1267970400,264
Codeforces Beta Round #4 (Div. 2 Only),https://codeforces.com/contest/4/standings,1.0,1268402400,282
Codeforces Beta Round #5,https://codeforces.com/contest/5/standings,1.0,1269108000,332
Codeforces Beta Round #6 (Div. 2 Only),https://codeforces.com/contest/6/standings,1.0,1269680400,230
Codeforces Beta Round #7,https://codeforces.com/contest/7/standings,1.0,1270143900,411
Codeforces Beta Round #8,https://codeforces.com/contest/8/standings,1.0,1270748700,433
Codeforces Beta Round #9 (Div. 2 Only),https://codeforces.com/contest/9/standings,1.0,1270990800,257
Codeforces Beta Round #10,https://codeforces.com/contest/10/standings,1.0,1271353500,468
Codeforces Beta Round #11,https://codeforces.com/contest/11/standings,1.0,1272301200,426
Codeforces Beta Round #12 (Div 2 Only),https://codeforces.com/contest/12/standings,1.0,1272546000,290
Codeforces Beta Round #13,https://codeforces.com/contest/13/standings,1.0,1273161600,527
Codeforces Beta Round #14 (Div. 2),https://codeforces.com/contest/14/standings,1.0,1274290200,299
Codeforces Beta Round #16 (Div. 2 Only),https://codeforces.com/contest/16/standings,1.0,1275577200,252
Codeforces Beta Round #17,https://codeforces.com/contest/17/standings,1.0,1276189200,513
Codeforces Beta Round #18 (Div. 2 Only),https://codeforces.com/contest/18/standings,1.0,1276707600,230
Codeforces Beta Round #19,https://codeforces.com/contest/19/standings,1.0,1277398800,456
Codeforces Beta Round #22 (Div. 2 Only),https://codeforces.com/contest/22/standings,1.0,1277830800,242
Codeforces Beta Round #23,https://codeforces.com/contest/23/standings,1.0,1278694800,439
Codeforces Beta Round #24,https://codeforces.com/contest/24/standings,1.0,1280156400,482
Codeforces Beta Round #25 (Div. 2 Only),https://codeforces.com/contest/25/standings,1.0,1280768400,313
Codeforces Beta Round #26 (Codeforces format),https://codeforces.com/contest/26/standings,1.0,1281978000,509
"Codeforces Beta Round #27 (Codeforces format, Div. 2)",https://codeforces.com/contest/27/standings,1.0,1284138000,389
Codeforces Beta Round #28 (Codeforces format),https://codeforces.com/contest/28/standings,1.0,1284742800,379
"Codeforces Beta Round #29 (Div. 2, Codeforces format)",https://codeforces.com/contest/29/standings,1.0,1285002000,355
Codeforces Beta Round #30 (Codeforces format),https://codeforces.com/contest/30/standings,1.0,1285347600,570
"Codeforces Beta Round #31 (Div. 2, Codeforces format)",https://codeforces.com/contest/31/standings,1.0,1285606800,401
"Codeforces Beta Round #32 (Div. 2, Codeforces format)",https://codeforces.com/contest/32/standings,1.0,1286010000,240
Codeforces Beta Round #33 (Codeforces format),https://codeforces.com/contest/33/standings,1.0,1286470800,614
Codeforces Beta Round #34 (Div. 2),https://codeforces.com/contest/34/standings,1.0,1286809200,410
Codeforces Beta Round #35 (Div. 2),https://codeforces.com/contest/35/standings,1.0,1287478800,249
Codeforces Beta Round #36,https://codeforces.com/contest/36/standings,1.0,1287489600,395
Codeforces Beta Round #37,https://codeforces.com/contest/37/standings,1.0,1288026000,690
School Personal Contest #1 (Winter Computer School 2010/11) - Codeforces Beta Round #38 (ACM-ICPC Rules),https://codeforces.com/contest/38/standings,1.0,1288454400,594
Codeforces Beta Round #39,https://codeforces.com/contest/40/standings,1.0,1288980000,604
Codeforces Beta Round #40 (Div. 2),https://codeforces.com/contest/41/standings,1.0,1289239200,378
Codeforces Beta Round #41,https://codeforces.com/contest/42/standings,1.0,1290103200,540
Codeforces Beta Round #42 (Div. 2),https://codeforces.com/contest/43/standings,1.0,1291053600,382
School Personal Contest #2 (Winter Computer School 2010/11) - Codeforces Beta Round #43 (ACM-ICPC Rules),https://codeforces.com/contest/46/standings,1.0,1291546800,651
Codeforces Beta Round #44 (Div. 2),https://codeforces.com/contest/47/standings,1.0,1291744800,371
School Personal Contest #3 (Winter Computer School 2010/11) - Codeforces Beta Round #45 (ACM-ICPC Rules),https://codeforces.com/contest/48/standings,1.0,1292151600,513
Codeforces Beta Round #46 (Div. 2),https://codeforces.com/contest/49/standings,1.0,1292608800,360
Codeforces Beta Round #48,https://codeforces.com/contest/51/standings,1.0,1293561000,571
Codeforces Beta Round #49 (Div. 2),https://codeforces.com/contest/53/standings,1.0,1294336800,260
Codeforces Beta Round #50,https://codeforces.com/contest/54/standings,1.0,1294740900,457
Codeforces Beta Round #51,https://codeforces.com/contest/55/standings,1.0,1294999200,465
Codeforces Beta Round #52 (Div. 2),https://codeforces.com/contest/56/standings,1.0,1295633400,393
Codeforces Beta Round #53,https://codeforces.com/contest/57/standings,1.0,1295978400,659
Codeforces Beta Round #54 (Div. 2),https://codeforces.com/contest/58/standings,1.0,1296496800,439
Codeforces Beta Round #55 (Div. 2),https://codeforces.com/contest/59/standings,1.0,1297447200,387
Codeforces Beta Round #56,https://codeforces.com/contest/60/standings,1.0,1298138400,784
Codeforces Beta Round #57 (Div. 2),https://codeforces.com/contest/61/standings,1.0,1298397600,438
Codeforces Beta Round #58,https://codeforces.com/contest/62/standings,1.0,1298656800,250
Codeforces Beta Round #59 (Div. 2),https://codeforces.com/contest/63/standings,1.0,1298916000,402
Codeforces Beta Round #60,https://codeforces.com/contest/65/standings,1.0,1299348000,832
Codeforces Beta Round #61 (Div. 2),https://codeforces.com/contest/66/standings,1.0,1299520800,637
Manthan 2011,https://codeforces.com/contest/67/standings,1.0,1300044600,745
Codeforces Beta Round #62,https://codeforces.com/contest/68/standings,1.0,1300471200,865
Codeforces Beta Round #63 (Div. 2),https://codeforces.com/contest/69/standings,1.0,1300816800,676
Codeforces Beta Round #64,https://codeforces.com/contest/70/standings,1.0,1301162400,897
Codeforces Beta Round #65 (Div. 2),https://codeforces.com/contest/71/standings,1.0,1301418000,664
Codeforces Beta Round #66,https://codeforces.com/contest/73/standings,1.0,1302431400,628
Codeforces Beta Round #67 (Div. 2),https://codeforces.com/contest/75/standings,1.0,1302714000,518
Codeforces Beta Round #68,https://codeforces.com/contest/74/standings,1.0,1302886800,820
Codeforces Beta Round #69 (Div. 2 Only),https://codeforces.com/contest/80/standings,1.0,1303233300,727
Codeforces Beta Round #69 (Div. 1 Only),https://codeforces.com/contest/77/standings,1.0,1303233300,360
Codeforces Beta Round #70 (Div. 2),https://codeforces.com/contest/78/standings,1.0,1303923600,650
Codeforces Beta Round #71,https://codeforces.com/contest/79/standings,1.0,1304182800,878
Yandex.Algorithm Open 2011: Qualification 1,https://codeforces.com/contest/81/standings,1.0,1304492400,1073
Yandex.Algorithm 2011: Qualification 2,https://codeforces.com/contest/82/standings,1.0,1304701200,1657
Codeforces Beta Round #72 (Div. 2 Only),https://codeforces.com/contest/84/standings,1.0,1305306600,810
Codeforces Beta Round #72 (Div. 1 Only),https://codeforces.com/contest/83/standings,1.0,1305306600,391
Yandex.Algorithm 2011: Round 1,https://codeforces.com/contest/85/standings,1.0,1305910800,899
Yandex.Algorithm 2011: Round 2,https://codeforces.com/contest/86/standings,1.0,1306084200,368
Codeforces Beta Round #73 (Div. 2 Only),https://codeforces.com/contest/88/standings,1.0,1307466000,581
Codeforces Beta Round #73 (Div. 1 Only),https://codeforces.com/contest/87/standings,1.0,1307466000,342
Codeforces Beta Round #74 (Div. 2 Only),https://codeforces.com/contest/90/standings,1.0,1308243600,682
Codeforces Beta Round #74 (Div. 1 Only),https://codeforces.com/contest/89/standings,1.0,1308243600,345
Codeforces Beta Round #75 (Div. 2 Only),https://codeforces.com/contest/92/standings,1.0,1308589200,738
Codeforces Beta Round #75 (Div. 1 Only),https://codeforces.com/contest/91/standings,1.0,1308589200,336
